name,url
4pr0n/ripme,https://github.com/4pr0n/ripme
aaberg/sql2o,https://github.com/aaberg/sql2o
ActiveJpa/activejpa,https://github.com/ActiveJpa/activejpa
Activiti/Activiti,https://github.com/Activiti/Activiti
adamfisk/LittleProxy,https://github.com/adamfisk/LittleProxy
addthis/stream-lib,https://github.com/addthis/stream-lib
Adobe-Consulting-Services/acs-aem-commons,https://github.com/Adobe-Consulting-Services/acs-aem-commons
AdoptOpenJDK/lambda-tutorial,https://github.com/AdoptOpenJDK/lambda-tutorial
adyliu/jafka,https://github.com/adyliu/jafka
adyliu/zkclient,https://github.com/adyliu/zkclient
aerogear/aerogear-unifiedpush-server,https://github.com/aerogear/aerogear-unifiedpush-server
airlift/airlift,https://github.com/airlift/airlift
airlift/airline,https://github.com/airlift/airline
ajermakovics/eclipse-instasearch,https://github.com/ajermakovics/eclipse-instasearch
alecgorge/jsonapi,https://github.com/alecgorge/jsonapi
aled/jsi,https://github.com/aled/jsi
alexxiyang/shiro-redis,https://github.com/alexxiyang/shiro-redis
alibaba/cobarclient,https://github.com/alibaba/cobarclient
alibaba/java-dns-cache-manipulator,https://github.com/alibaba/java-dns-cache-manipulator
analytically/innerbuilder,https://github.com/analytically/innerbuilder
androrm/androrm,https://github.com/androrm/androrm
antlr/antlr4,https://github.com/antlr/antlr4
apache/accumulo,https://github.com/apache/accumulo
apache/drill,https://github.com/apache/drill
apache/flink,https://github.com/apache/flink
apache/hive,https://github.com/apache/hive
apache/incubator-samoa,https://github.com/apache/incubator-samoa
apache/jackrabbit-oak,https://github.com/apache/jackrabbit-oak
apache/pdfbox,https://github.com/apache/pdfbox
apache/storm,https://github.com/apache/storm
apache/tajo,https://github.com/apache/tajo
apache/zeppelin,https://github.com/apache/zeppelin
ArcBees/GWTP,https://github.com/ArcBees/GWTP
arturmkrtchyan/iban4j,https://github.com/arturmkrtchyan/iban4j
asciidocfx/AsciidocFX,https://github.com/asciidocfx/AsciidocFX
Asquera/elasticsearch-http-basic,https://github.com/Asquera/elasticsearch-http-basic
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client
atermenji/IconicDroid,https://github.com/atermenji/IconicDroid
Athou/commafeed,https://github.com/Athou/commafeed
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java
b3log/solo,https://github.com/b3log/solo
b3log/symphony,https://github.com/b3log/symphony
basho/riak-java-client,https://github.com/basho/riak-java-client
bbeck/token-bucket,https://github.com/bbeck/token-bucket
before/uadetector,https://github.com/before/uadetector
Berico-Technologies/CLAVIN,https://github.com/Berico-Technologies/CLAVIN
bitsofproof/supernode,https://github.com/bitsofproof/supernode
bkiers/Liqp,https://github.com/bkiers/Liqp
bonnyfone/vectalign,https://github.com/bonnyfone/vectalign
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP
brettwooldridge/NuProcess,https://github.com/brettwooldridge/NuProcess
brettwooldridge/SansOrm,https://github.com/brettwooldridge/SansOrm
brianfrankcooper/YCSB,https://github.com/brianfrankcooper/YCSB
brianm/really-executable-jars-maven-plugin,https://github.com/brianm/really-executable-jars-maven-plugin
brooklyncentral/clocker,https://github.com/brooklyncentral/clocker
buddycloud/buddycloud-server-java,https://github.com/buddycloud/buddycloud-server-java
bujiio/buji-pac4j,https://github.com/bujiio/buji-pac4j
bytedeco/javacpp,https://github.com/bytedeco/javacpp
bytedeco/javacv,https://github.com/bytedeco/javacv
caelum/caelum-stella,https://github.com/caelum/caelum-stella
caelum/mamute,https://github.com/caelum/mamute
caelum/vraptor,https://github.com/caelum/vraptor
caelum/vraptor4,https://github.com/caelum/vraptor4
CamelCookbook/camel-cookbook-examples,https://github.com/CamelCookbook/camel-cookbook-examples
caskdata/coopr,https://github.com/caskdata/coopr
caskdata/tephra,https://github.com/caskdata/tephra
caspark/eclipse-multicursor,https://github.com/caspark/eclipse-multicursor
cereda/arara,https://github.com/cereda/arara
cglib/cglib,https://github.com/cglib/cglib
chanjarster/weixin-java-tools,https://github.com/chanjarster/weixin-java-tools
checkstyle/checkstyle,https://github.com/checkstyle/checkstyle
chewiebug/GCViewer,https://github.com/chewiebug/GCViewer
clemp6r/futuroid,https://github.com/clemp6r/futuroid
CloudifySource/cloudify,https://github.com/CloudifySource/cloudify
CloudSlang/cloud-slang,https://github.com/CloudSlang/cloud-slang
CloudSlang/score,https://github.com/CloudSlang/score
code4craft/webmagic,https://github.com/code4craft/webmagic
