square/okhttp;passed;push;80a799c0c0e9baa4c0878c51c648c5be16f0b864;133618826
square/wire;passed;push;7185f1d75e11d8665075f0f2a5e1ed5fa9a3bed4;66952639
apache/accumulo;passed;push;47d13beff82e547019faf551e9bdc76c4429e576;287161494
geoserver/geoserver;failed;push;778ad449c606c6f233f2ed40dbade0f350ac2f32;243591030
jOOQ/jOOQ;passed;push;008c1e6cd83ee738372c6396bc580b0e4e5a5c22;32982700
psi-probe/psi-probe;passed;push;d39ba9b1ada174814014afd4fc0a66fb48d2141f;187833058
HubSpot/Singularity;failed;push;dc2c4de2e867c015082a1a2f0473517e273174af;200408673
pgjdbc/pgjdbc;passed;push;667835614ec027d35eaf3891d15c014741515f99;57549265
brianfrankcooper/YCSB;passed;push;71a9ee5df03a2e7e29017f5331ae86c71a8f7986;277604901
apache/accumulo;passed;push;418289cbdd8ba619eabe50344354d166e003e521;152843754
square/okhttp;errored;push;f4c1b7b159236b469f342a2393fb35b53cb36ab7;24363088
dianping/cat;failed;push;d11ce3919ae6afeacadb628122a55856a9df83ba;262495788
caskdata/tephra;passed;push;02b14bcbdea13a2b2968778c58d7b52643fcfee7;40944340
sachin-handiekar/jInstagram;errored;push;f9c6b15f238f8fd29d03a53d6b0696a05f7a361e;222817591
larsga/Duke;passed;push;5103d9294666478fe1034918dcb3425096a2cd8c;64370281
swagger-api/swagger-core;passed;push;82f75a5b4d1a5ccb8bb87eced5d493902c4d2df5;50724004
square/okhttp;passed;push;f6baae0bcbd712ac642db6d84dab026470d36f1c;53601570
FenixEdu/fenixedu-academic;passed;push;7fb1125060385685ba3afdbb1b4be45f41997b83;16734061
trautonen/coveralls-maven-plugin;errored;push;cdb26532444f510cc674868efaa5cee0cffcaf87;270510556
square/dagger;passed;push;a8c471f1fb2364264ad647812b815c99c0e24b6a;8040561
perwendel/spark;passed;push;33162dd5a3f586d4df47c61f24e5a6cb2c6b9427;206318084
openpnp/openpnp;failed;push;18e245023d837298283349dda242df34605596ca;293687357
google/closure-compiler;passed;push;3053fb1abb52da8f6f472b99fd2eaf5cf35e67b4;88153412
pgjdbc/pgjdbc;passed;push;0eadcb873c68715cc3d0e9478c13ce3e38b798ae;22998860
basho/riak-java-client;errored;push;93e7607f9d0a03c49f1ee81ac1665d64c382aed4;265678758
bujiio/buji-pac4j;passed;push;07aab1d23275282d96c200fb120dbd4e939fe535;161235300
vavr-io/vavr;passed;push;ec79cb6882afccbce99736e3407f2c454456fdce;97104303
OpenFeign/feign;passed;push;3e794cc9932a0ff99a3a25e80ba16de4272cc7d2;84454304
cryptomator/cryptomator;passed;push;cec3d984b0050f592efd01c65ae0a6b2d3dc5c60;241132069
jwtk/jjwt;passed;push;48dae365b18aadf6323b32f89f63960cca3a3f47;161972693
DSpace/DSpace;passed;push;ed0a4429e9b1e1254c46f77037ef889a5a0f3ea1;93898550
openpnp/openpnp;passed;push;5314b9088371612a378e63b040a8da2c167b50a0;80057657
